epoch,acc,loss,val_acc,val_loss
0,0.141427922,2.624183211,0.174965892,2.34408225
1,0.180650296,2.288851837,0.193042293,2.24570858
2,0.20884493,2.205117158,0.254092768,2.149947338
3,0.241852357,2.138675757,0.158253751,2.27703193
4,0.293315145,2.033209513,0.146657572,2.619175137
5,0.357548886,1.876404934,0.127216917,2.95385624
6,0.426443836,1.704024918,0.207366984,2.581969576
7,0.493747154,1.519358047,0.205320601,2.619848242
8,0.559458843,1.335763758,0.244201909,2.41854811
9,0.620357739,1.166405307,0.26500682,2.142910725
10,0.670418372,1.031036101,0.283083222,1.987709073
11,0.713354557,0.903918291,0.384379261,1.763717183
12,0.750037896,0.797385101,0.533765352,1.431597402
13,0.77698196,0.711995566,0.44304229,1.720795808
14,0.801576472,0.635315361,0.674624834,1.05180861
15,0.819652872,0.572813593,0.612892221,1.201329661
16,0.843110504,0.505508381,0.555593449,1.341674101
17,0.853494013,0.462372281,0.516712137,1.436217584
18,0.872290436,0.417665738,0.630627559,1.173224244
19,0.884000303,0.376057458,0.660641191,1.115736109
20,0.895672276,0.345658562,0.677694408,1.093017598
21,0.900977717,0.323157088,0.642564805,1.190577158
22,0.909125362,0.289715731,0.679058664,1.090873101
23,0.918523572,0.263563948,0.676671214,1.075348232
24,0.924321663,0.245530507,0.685879942,1.179918491
25,0.92795968,0.22958632,0.680422919,1.147279552
26,0.933909353,0.216069226,0.672237386,1.329313877
27,0.93766106,0.199103217,0.689972722,1.187484685
28,0.94383811,0.182889029,0.673942699,1.216360693
29,0.94906776,0.173165486,0.666780355,1.269039889
30,0.951114145,0.15647753,0.616984991,1.314078226
31,0.950810977,0.159304101,0.59686221,2.205563561
32,0.955510084,0.146510262,0.67257845,1.365910015
33,0.957139614,0.135863923,0.670190999,1.269968321
34,0.957329092,0.133939426,0.670191002,1.440598031
35,0.962217679,0.120135833,0.671896318,1.271305666
36,0.961649239,0.11961494,0.67223738,1.404632439
37,0.963657728,0.117273856,0.674965897,1.313968853
38,0.96649993,0.107507231,0.655525238,1.381479861
39,0.964908298,0.109954414,0.662346528,1.326164556
40,0.966045178,0.104411415,0.575034098,1.431694852
41,0.968129459,0.099336506,0.671555254,1.404120959
42,0.966158865,0.103078614,0.629945435,1.381298765
43,0.970289534,0.091514327,0.663028646,1.614943743
44,0.969910572,0.090551904,0.659959073,1.534094238
45,0.971161141,0.086571946,0.635402455,1.391391686
46,0.974988641,0.080664274,0.67223738,1.479611405
47,0.97316963,0.080746236,0.659618011,1.439506316
48,0.973321216,0.083198919,0.63062756,2.163050933
49,0.972184334,0.084339369,0.660982267,1.538969653
50,0.974723368,0.074858955,0.667121417,1.424448578
51,0.976390795,0.071731695,0.672578448,1.398119976
52,0.975594976,0.0742792,0.65791269,1.998859542
53,0.976315002,0.071580453,0.648021832,1.424062636
54,0.97680765,0.069349453,0.645293309,1.953102967
55,0.977603465,0.065914477,0.660300138,1.502939637
56,0.976921337,0.071065914,0.660982262,1.797470343
57,0.978778243,0.063279758,0.662346526,1.760796159
58,0.977792947,0.064318903,0.613574345,1.527062109
59,0.977451884,0.063613051,0.575716232,1.572310342
60,0.979043516,0.059810692,0.669167801,1.621081262
61,0.978929826,0.061738013,0.629945436,2.624031683
62,0.978437179,0.062640335,0.652114595,1.631475456
63,0.978550865,0.061553672,0.658935881,1.667226959
64,0.981355173,0.055579743,0.675648026,1.654157725
65,0.981203587,0.056863958,0.64017735,1.710629282
66,0.980104603,0.058119899,0.663710775,1.612924049
67,0.980635147,0.056081498,0.65075034,1.680616273
68,0.983060494,0.050612518,0.648362894,1.790306006
69,0.981355172,0.052844382,0.65518418,1.945927996
70,0.982113092,0.051494148,0.659959073,1.65403194
71,0.981127797,0.052721801,0.654160984,1.83071919
72,0.981544651,0.051491747,0.667121425,1.842643738
73,0.983704725,0.051737434,0.629945426,2.377914625
74,0.98336366,0.050353648,0.549454296,1.827695406
75,0.982075198,0.049214494,0.645975445,2.422695969
76,0.982264674,0.05147161,0.642564803,1.819917466
77,0.982454155,0.050304334,0.496930419,2.219599838
78,0.981923612,0.049462085,0.612892225,1.610979116
79,0.981544651,0.050089493,0.639154162,1.675102782
80,0.981052003,0.049238443,0.660982269,1.978456176
81,0.983098388,0.04710181,0.656889493,2.082773138
82,0.983818413,0.045239182,0.651091408,1.863687499
83,0.983439452,0.046335571,0.659959075,1.560981857
84,0.984083685,0.045381405,0.655525243,2.196869856
85,0.9839321,0.045635622,0.637789904,1.74397158
86,0.984576332,0.041467598,0.627557982,2.325039556
87,0.982946805,0.045200383,0.65518417,1.850044788
88,0.983363661,0.046086133,0.665075036,1.944152032
89,0.984652126,0.041937181,0.590381987,1.638590605
90,0.984576333,0.044067113,0.641541611,1.624767073
91,0.982833115,0.046681091,0.648703955,2.102125097
92,0.983098389,0.044934094,0.642223735,2.7816885
93,0.983325765,0.043233867,0.663369713,2.072210483
94,0.984273164,0.041271136,0.587994542,4.13467388
95,0.984576334,0.04127323,0.640859478,2.661126931
96,0.985296357,0.040124383,0.582196448,1.815362741
97,0.984045788,0.043114761,0.645634379,2.865822504
98,0.984538437,0.042039983,0.646998637,1.961663374
99,0.984576333,0.041079803,0.617326057,1.704323876
100,0.985561628,0.03895556,0.649045023,2.56957013
101,0.985751109,0.038658657,0.652455666,2.388926216
102,0.983666828,0.042216242,0.665416091,2.465109052
103,0.985447942,0.040081477,0.643246929,2.90369994
104,0.984348957,0.041075345,0.651432468,2.742667371
105,0.9858269,0.039117168,0.667121422,2.047135645
106,0.985334253,0.041528694,0.627216914,1.968354844
107,0.98613007,0.039094936,0.6292633,1.589964827
108,0.985523734,0.039702011,0.658253758,1.726953568
109,0.985031086,0.039027941,0.641882669,1.749947417
110,0.986205862,0.038106663,0.666098229,2.223045326
111,0.986660613,0.037423718,0.644611186,2.741068219
112,0.985182669,0.038947588,0.649045025,1.680757709
113,0.98563742,0.0401021,0.662005464,1.910941541
114,0.986357445,0.036432625,0.574351979,1.924588373
115,0.987418533,0.035349403,0.656889493,1.870542303
116,0.986395341,0.03430417,0.64836289,1.658894667
117,0.986092173,0.036842934,0.636766714,2.59536666
118,0.986887989,0.035649581,0.651091402,2.304938155
119,0.987115366,0.034187085,0.656889497,1.884161888
120,0.986925885,0.034865797,0.644952249,2.186151694
121,0.985751109,0.03972397,0.624147335,1.897373868
122,0.985789005,0.036358441,0.641882674,1.883584444
123,0.985637421,0.037308758,0.657571622,1.727750072
124,0.986357445,0.034998421,0.64597544,2.090450584
125,0.986812197,0.03768916,0.662005461,2.515826874
126,0.986812198,0.036817241,0.636084587,2.701840242
127,0.98525846,0.036506631,0.654843114,1.80424083
128,0.986471132,0.035734466,0.618349249,2.229926698
129,0.986130069,0.035182597,0.648703953,3.14511636
130,0.986357444,0.035221236,0.560709409,2.280784137
131,0.986281652,0.036675298,0.65075034,1.99172958
132,0.986850093,0.034624706,0.652455662,2.276538173
133,0.98613007,0.039279734,0.633015005,2.00457891
134,0.986660613,0.035068912,0.571282404,1.905271469
135,0.986281652,0.037547068,0.646657575,2.206986357
136,0.986509029,0.035401488,0.658935879,2.091658067
137,0.986736405,0.037504007,0.655184172,2.000090456
138,0.986546926,0.034809334,0.638130968,2.666179332
139,0.986925886,0.031838669,0.641200548,2.04149201
140,0.986850093,0.036268012,0.64768076,1.998101596
141,0.984917396,0.039383742,0.648021828,2.592469463
142,0.986736405,0.033238349,0.45225102,2.882460286
143,0.987721701,0.033133664,0.647339698,2.380458455
144,0.988252246,0.03064947,0.64836289,2.026186617
145,0.986281654,0.03674469,0.645293311,2.011192927
146,0.986395341,0.036440869,0.663710777,2.133708148
147,0.987039573,0.032940525,0.642223732,2.569386624
148,0.985902693,0.037227832,0.653137799,2.428659453
149,0.986850094,0.033760624,0.65791269,2.380455424
150,0.987759597,0.033964276,0.667462482,2.118908008
151,0.9867743,0.031578541,0.656207369,2.334219965
152,0.986509029,0.034554286,0.65995908,2.432292345
153,0.987191158,0.033559638,0.656548431,2.202869594
154,0.986471132,0.034169195,0.627216919,1.99404236
155,0.987380637,0.03487428,0.601296036,3.389246744
156,0.986584821,0.035642247,0.653819921,2.565332439
157,0.988100662,0.033099725,0.657230563,2.473017138
158,0.987304845,0.030257732,0.652455666,2.69927815
159,0.985751111,0.036031357,0.651432468,2.379229128
160,0.987759597,0.031481306,0.65075034,2.379293794
161,0.987986974,0.03304008,0.623465212,1.870704479
162,0.986736405,0.034469876,0.654502048,2.078924066
163,0.987001677,0.035339698,0.66200546,1.870395256
164,0.987456429,0.033551338,0.656207361,1.975507267
165,0.988479621,0.031416731,0.598908588,2.329250757
166,0.987949078,0.030588503,0.645975449,2.108584332
167,0.987266948,0.033567337,0.662005462,2.006353504
168,0.986850093,0.032259104,0.664733974,2.391775704
169,0.987645908,0.033972818,0.665416097,2.095035847
170,0.988706997,0.029831279,0.652455666,2.726653143
171,0.987873285,0.031764654,0.656889495,2.265134084
172,0.988896476,0.029752332,0.666098225,2.046629714
173,0.987229054,0.033358853,0.49693042,2.909220871
174,0.987683805,0.03141438,0.671896314,2.109434749
175,0.987380636,0.034334694,0.641882671,1.98832434
176,0.988024869,0.033750364,0.665416098,2.255662439
177,0.987683805,0.032123506,0.643246933,2.189185488
178,0.988252244,0.031307581,0.658594817,2.391359663
179,0.987835389,0.032299046,0.589699859,2.178447127
180,0.987039574,0.034815761,0.638813097,2.197984616
181,0.987608013,0.033211814,0.56070941,4.597992043
182,0.986925885,0.032145738,0.662687581,2.228667919
183,0.987949078,0.029003233,0.627557984,2.501302402
184,0.987570118,0.030913344,0.599931785,3.936385054
185,0.988858581,0.031478505,0.661664388,2.386150601
186,0.988555414,0.029972662,0.646998636,2.413678887
187,0.986812197,0.035636764,0.616643926,2.046401132
188,0.98878279,0.030886146,0.662346521,2.135780919
189,0.988176453,0.03018937,0.667121421,2.051961295
190,0.987683804,0.030558169,0.652796731,2.027039654
191,0.988214349,0.029285616,0.65791269,2.439842994
192,0.988138558,0.029660592,0.6606412,2.339114437
193,0.988896477,0.030962378,0.664051834,2.531803017
194,0.988100661,0.030487455,0.660982264,2.297799567
195,0.988403829,0.033210703,0.654843109,2.503630882
196,0.989389124,0.030237444,0.664392908,2.018567178
197,0.988479621,0.031516101,0.640177354,3.6994922
198,0.987039573,0.035346128,0.618008185,2.135185644
199,0.988593309,0.032818483,0.653819924,2.769080062
,,,0.689972722,
