comment: ,appalling.  When civics get killed it's a crime.,,,,,,,,,,,,,
comment: ,"Where was Bin Laden hiding? Where is Ayman al-zawahiri hiding? Who is harboring Taliban, JuD, LeT, JeM? I know you will not reply",,,,,,,,,,,,,
comment: ,"Karen...I don't agree with u...religions preach peace and non violence...just take up Prophet Jesus PBUH...what were his teachings? Violence, extremism, killing, blood shedding???? Certainly not...infact its private interpretation of religions and thinking of everyone...we being Muslims completely disown fanatic and militants...nothing to do with them",,,,,,,,,,,,,
comment: ,"Karis.....I don't agree with u...religions preach peace and non violence...just take up Prophet Jesus PBUH...what were his teachings? Violence, extremism, killing, blood shedding???? Certainly not...infact its private interpretation of religions and thinking of everyone...we being Muslims completely disown fanatic and militants...nothing to do with them",,,,,,,,,,,,,
comment: ,Islam is satanic religion,,,,,,,,,,,,,
comment: ,"Let's be real here, Ansar Ali. Just about every religion's holy book preaches peace AND violence.",,,,,,,,,,,,,
comment: ,"Just leave already... for the love of god pull our men and woman out of that 7th century hellhole. They only have one thing on their mind, purge the earth of all non believers. Globalism is suicide when it comes to the Muslim culture. Appeasing Islam is like feeding an alligator hoping it will eat you last.",,,,,,,,,,,,,
comment: ,"Guess who created and supports ISIS , Mujahidin and Taliban in Afhanistan? We poor Afghans are just victim for the aims of others . . .",,,,,,,,,,,,,
comment: ,https://elomelo-vabna.blogspot.com/2017/05/economic-losses-from-natural-disasters.html,,,,,,,,,,,,,
comment: ,"Hey do u know this so called war against terror is imposed by ur peacemakers, they killed millions of muslims in #afghanistan #iraq #syria #yemen #sudan etc. Just to sell the arms and imonations. 
Stop being biased towards muslims. 
Every action has something in reaction.",,,,,,,,,,,,,
comment: ,Homeland style civilians ?,,,,,,,,,,,,,
comment: ,GOD BLESS AMERICA from jihadis and moslems,,,,,,,,,,,,,
comment: ,New York Times the authorities need to do something about this situation they not getting off that easy.,,,,,,,,,,,,,
comment: ,People seemed to get killed where ever Americans go.,,,,,,,,,,,,,
comment: ,"AD always someone else's fault, huh..........",,,,,,,,,,,,,
the nytimes,,,,,,,,,,,,,,
5281959998_10151156589994999,"On Donald J. Trump's 100th day in office, demonstrators descended on Washington in an attempt to drown out the administration's climate change deniers.",Climate March Draws Thousands of Protesters Alarmed by Trump?�s Environmental Agenda,link,https://www.nytimes.com/2017/04/29/us/politics/peoples-climate-march-trump.html?smid=fb-nytimes&smtyp=cur,2017-04-29 15:55,5414,243,374,4824,533,29,17,7,4
comment: ,https://www.facebook.com/prageru/videos/1389419187767600/?hc_location=ufi,,,,,,,,,,,,,
comment: ,"I don't understand how anyone could be against protecting the environment and working for cleaner air, water and energy. It makes no sense. We only get one earth",,,,,,,,,,,,,
comment: ,comunist,,,,,,,,,,,,,
comment: ,Well I don't see why doing the exact thing that they say they have a problem with won't convince them.,,,,,,,,,,,,,
comment: ,A picture of clowns.  How appropriate for the New York Times.,,,,,,,,,,,,,
comment: ,"Animal agriculture to produce meat, dairy, and eggs is the LEADING cause of climate change and environmental destruction, responsible for more greenhouse gas emissions than the ENTIRE transportation sector (especially methane, which is 86x more warming than CO2), and responsible for the majority of Amazon rainforest destruction. Watch Cowspiracy on Netflix and go VEGAN! http://www.cowspiracy.com/facts",,,,,,,,,,,,,
comment: ,Same crowd as the communist marches. Some of these just want to be seen in public.,,,,,,,,,,,,,
comment: ,"Republicans aren't smart enough to think long term. They wanna make all the money they can now while their children and grandchildren bare the consequences in the future. That will be their future version of ""pull yourself up by the bootstraps"".",,,,,,,,,,,,,
comment: ,,,,,,,,,,,,,,
comment: ,See what happens when you don't bugger off to Drop-a-Lago for the weekend? You are forced to hear the voices of your people.,,,,,,,,,,,,,
comment: ,"It's worth understanding, even if you don't agree with them. I don't claim to understand it entirely, myself, but I see value in understanding the misunderstanding and in treating those people with civility, even if I disagree with the.",,,,,,,,,,,,,
comment: ,"True. You think I'll get $400,000 for one speech?",,,,,,,,,,,,,
comment: ,Paul Unwin I mean I hear their arguments but it just makes so sense to me,,,,,,,,,,,,,
comment: ,It's quite obvious that we cannot rely on the government to do what's right.  The single biggest impact we can have as individuals is to stop consuming animals.   Breeding millions of them who also use our natural resources and release harmful gases into the atmosphere is not only inefficient but destructive.,,,,,,,,,,,,,
comment: ,Becca Campbell u coulda been in this photo smh,,,,,,,,,,,,,
comment: ,"Unfortunately, it will never be about them or what they're fighting for. It's all about the money. Trump has done E.O's that solidifies exactly just that. For as long as he's in office, we're all in perilous situation.",,,,,,,,,,,,,
comment: ,"I know like being able to breathe. It's not just that they don't understand Paul Unwin, it's they just flat out deny its existence or think it's a ""UN conspiracy""",,,,,,,,,,,,,
comment: ,"Dustin Ginsberg and that's the problem with our current political climate, we are asked to give an equal voice and try to understand some ideas that make no sense.",,,,,,,,,,,,,
comment: ,Mike Mento Please stay on topic.,,,,,,,,,,,,,
comment: ,"Meanwhile, Bret Stephens' fact-free copy goes unchecked in the NYT.",,,,,,,,,,,,,
comment: ,interesting choice of photography. almost seems like it's intended to make the participants look stupid.,,,,,,,,,,,,,
comment: ,http://www.biocab.org/carbon_dioxide_geological_timescale.html,,,,,,,,,,,,,
comment: ,Mike Mento are you a private citizen? Then you can do what you want,,,,,,,,,,,,,
comment: ,"I'm old enough to remember before the EPA. It's needed, should be supported. 
I also remember when it was inconceivable that a cruise ship could use the Northwest Passage, like one did last summer. Get ready to tell your children Santa has moved to the South Pole.",,,,,,,,,,,,,
comment: ,How does one even deal with a nation no longer interested in scientific fact? Or just facts in general...,,,,,,,,,,,,,
comment: ,SAD,,,,,,,,,,,,,
comment: ,"Most of these issues already existed under Obama, and certainly existed under Bush. This would be the type of alarmism and shoddy journalism that leads people to claim ""fake news"". When you present half-truths to try to push partisan agenda's, you're no better than Russia Today or the Huffington Post.",,,,,,,,,,,,,
comment: ,"he made america great again,only evil people are finding it hard to accept",,,,,,,,,,,,,
comment: ,Watches InfoWars,,,,,,,,,,,,,
comment: ,Climate change isn't a real thing. It's called seasons people!!!,,,,,,,,,,,,,
comment: ,"It's hard to take people seriously when they don't know what words they're trying to use. The word you were looking for is ""Shoddy"", trumpflake.",,,,,,,,,,,,,
comment: ,Was America ever great to begin with?,,,,,,,,,,,,,
comment: ,"Also bbc, Donald Trump never covered up Jimmy Savilles crimes. Trump > BBC",,,,,,,,,,,,,
comment: ,I imagine you hold the right diploma to say such things,,,,,,,,,,,,,
comment: ,You shouldn't have dropped out of school. It's made you ill-informed.,,,,,,,,,,,,,
comment: ,mr trump needs time its to early to pass judgement on his leadership.,,,,,,,,,,,,,
comment: ,!,,,,,,,,,,,,,
comment: ,The relationship with the good citizens of America hasn't changed. Everyone accepts now that Trump's Presidency is an incompetent joke. He cannot be taken seriously.,,,,,,,,,,,,,
comment: ,You are kidding right??,,,,,,,,,,,,,
comment: ,the world is the same. Our country is run by incompetent and dangerous men. That's what's different.,,,,,,,,,,,,,
comment: ,"No more yes Boss keep it up Trump,",,,,,,,,,,,,,
comment: ,"Oh my days, we get it BBC you hate Donald Trump, this is 10 posts a day about it, this is getting pathetic",,,,,,,,,,,,,
comment: ,Ummm OK...yes seasons....like weather vs climate. Got it. Chinese hoax.,,,,,,,,,,,,,
comment: ,President Ivanka is doing a great job and is going to have 4 terms.,,,,,,,,,,,,,
comment: ,I've done research. Keep believing what you are fed,,,,,,,,,,,,,
comment: ,But American is great again,,,,,,,,,,,,,
comment: ,#TrumpRocks,,,,,,,,,,,,,
comment: ,"Jim Low yep....looked out the window.....and you of course are a scientist....cause, 'you've done research'....Chinese Hoax.",,,,,,,,,,,,,
the nytimes,,,,,,,,,,,,,,
5281959998_10151156084619999,"""Demagogic forms of populism are on the rise. These certainly do not help to consolidate peace and stability. No incitement to violence will guarantee peace, and every unilateral action that does not promote constructive and shared processes is in reality a gift to the proponents of radicalism."" ?�Pope Francis","Pope Francis, in Egypt, Delivers a Blunt Message on Violence and Religion",link,https://www.nytimes.com/2017/04/28/world/middleeast/pope-francis-muslims-egypt.html?smid=fb-nytimes&smtyp=cur,2017-04-28 21:25,3983,279,930,3491,433,41,5,12,1
comment: ,I guess the whole world is tired of conventional left-right politics. Everyone is going after the far-left and the far-right.,,,,,,,,,,,,,
comment: ,Liberals are the new fascist,,,,,,,,,,,,,
comment: ,Crikey we're going to have to count on the Pope now to be the most influential defender of small-d democracy on the planet.,,,,,,,,,,,,,
comment: ,"From Francis' lips to our ears. Can we give the guy a listen, humanity?",,,,,,,,,,,,,
comment: ,Lol! Catholicism is demagogic populism writ large!,,,,,,,,,,,,,
comment: ,the Pope represents everything that white reps are against of,,,,,,,,,,,,,
comment: ,"Yes, that must be it.",,,,,,,,,,,,,
comment: ,Donald Trump will be the next Pope !,,,,,,,,,,,,,
comment: ,Pope keeps stealing my lines. Get a life Pope!,,,,,,,,,,,,,
comment: ,How do you figure?,,,,,,,,,,,,,
comment: ,"I really want to like this guy.  I do.  I'm trying.  I just see all religion as a silly, primitive source of comfort in a world that is incredibly complex, but ... like I said, I'm trying to like him.  He says good things, but plenty of people have said good things and have contributed nothing, just like me.",,,,,,,,,,,,,
comment: ,Wise words from the Pope.,,,,,,,,,,,,,
comment: ,Abortion is murder - he also said that to you know.,,,,,,,,,,,,,
comment: ,"I'm not religious but many people are, and when someone with so much influence speaks about peace like this man, it does make a difference.",,,,,,,,,,,,,
comment: ,"I'm not religious but many people are, and when someone with so much influence speaks about peace like this man, it does make a difference.",,,,,,,,,,,,,
comment: ,"Matthew Craig Costa - I hope it does.  The message is good, and that much I can get behind.",,,,,,,,,,,,,
comment: ,Wonder if all the christians out there think of the Pope previously saying he didn't thing Frump is a true christian,,,,,,,,,,,,,
comment: ,"""Populism"" is just a slur against those who are against communism which is just the oligarchy of the bankers who print money (without any media scrutiny whatsoever) and own corrupt mass psychology propaganda entities such as the archaic NY Times.",,,,,,,,,,,,,
comment: ,"The pope is a Marxist head of a homosexual communist front.  Speaking in vague, liberal nicities is their way of re-branding themselves after the massive pedophile scandal which just disappeared.  The media acts like nothing to see here.",,,,,,,,,,,,,
comment: ,Agreed. Him and the Dalai Lama should start a band. Haha,,,,,,,,,,,,,
comment: ,Only Fascist would comment,,,,,,,,,,,,,
comment: ,says a Trump supporter  get a life,,,,,,,,,,,,,
comment: ,Mike Mento ??????,,,,,,,,,,,,,
comment: ,Populism=democracy that does not benefit from elites,,,,,,,,,,,,,
comment: ,Alex Baez - Says a male hillary supporter.  Get some b#lls.,,,,,,,,,,,,,
5550296508_10156543647641509,An FBI translator went rogue and married an ISIS terrorist. CNN's Drew Griffin has more. http://cnn.it/2oRy9aE,Rogue FBI employee married ISIS terrorist,video,https://www.facebook.com/cnn/videos/10156543647641509/,2017-05-01 20:35,4332,1753,1773,1814,32,1252,314,62,858
comment: ,"Bot Powered By Hammad King

 See My Bot Speed  CNN
 c h    h r  s       r 
 Tuesday : 2 - May - 2017
  Stay Active CNN
 Comment Late  15 detik :)
   Auto Comment By    Hammad King
   Auto-Run.tk",,,,,,,,,,,,,
comment: ,GREAT <3 <3,,,,,,,,,,,,,
comment: ,Anything is possible nowadays... Just look what happened on election day.,,,,,,,,,,,,,
comment: ,Only 2 years for compromising and releasing information to a terrorist. Awesome.,,,,,,,,,,,,,
comment: ,Horrific,,,,,,,,,,,,,
comment: ,"This offends me as a vegan transgender hipster Native-American-Indo-Chinese hybrid alien agnostic-atheist German engineer who vapes fairtrade organic decaffeinated compressed and hydrated extra-protein soy breast milk on the regular and does Hindi Kama Sutra naked crossfit yoga 8 days a week. I'm also a nonbinary trigender genderqueer male feminist and identify myself as a pastafarian pansexual genderfluid Apache helicopter dog of mega multi alpha beta gamma delta omega combo god of hyper death who's in a polygamous polyamorous relationship to the chihuahua which helped me cross the border of Mexico because it hates Donald Trump. My dog also walks me to the park and doggy styles me, if you find that weird you're an ignorant arrogant homophobic gender-assuming globaphobic bloodthirsty gun-loving cisgender pansexual bestial sexist racist incestuous white-previlege misogynistic biased objectified raped privileged Nazi-Communist slave owner terrorist lesbian.",,,,,,,,,,,,,
comment: ,And now I know why my company calls ICE whenever an immigrant applies.,,,,,,,,,,,,,
comment: ,Must have been desperate...,,,,,,,,,,,,,
comment: ,Kill the traitor !!,,,,,,,,,,,,,
comment: ,It is irrelevant weather it is him or her certainly their death will be good,,,,,,,,,,,,,
comment: ,"This offends me as a vegan transgender hipster Native-American-Indo-Chinese hybrid alien agnostic-atheist German engineer who vapes fairtrade organic decaffeinated compressed and hydrated extra-protein soy breast milk on the regular and does Hindi Kama Sutra naked crossfit yoga 8 days a week. I'm also a nonbinary trigender genderqueer male feminist and identify myself as a pastafarian pansexual genderfluid Apache helicopter dog of mega multi alpha beta gamma delta omega combo god of hyper death who's in a polygamous polyamorous relationship to the chihuahua which helped me cross the border of Mexico because it hates Donald Trump. My dog also walks me to the park and doggy styles me, if you find that weird you're an ignorant arrogant homophobic gender-assuming globaphobic bloodthirsty gun-loving cisgender pansexual bestial sexist racist incestuous white-previlege misogynistic biased objectified raped privileged Nazi-Communist slave owner terrorist lesbian.",,,,,,,,,,,,,
comment: ,What does one even say that convinces someone to do something like that?,,,,,,,,,,,,,
comment: ,Hopefully she die from allied bombings on IS camp,,,,,,,,,,,,,
comment: ,"Never let either of them back into America when they request to come home. She will request to come home, no doubt about it.",,,,,,,,,,,,,
comment: ,"Attached to the Democratic Party.
- black lives matter
- nambla (man/boy love association).
- pedophilia
-human trafficking 
-antifa
-harboring illegal criminals
- flooding America with Muslim terrorist. 
- men in little girls restroom.
-fascism
- donating billions to terrorist states. 
-global communism 

The Democratic Party should be abolished. The political aisle should fall between independents and republicans.",,,,,,,,,,,,,
comment: ,A German Rapper a German National? Thank Merkel for this.,,,,,,,,,,,,,
comment: ,Drop the next bomb on her,,,,,,,,,,,,,
comment: ,Don't let her back in to our country,,,,,,,,,,,,,
comment: ,She fall in love with him because of his long beard.,,,,,,,,,,,,,
comment: ,no different from the sick perverted women who marry serial killers in prison...like they say..women are turned on by bad guys...lol...ugh,,,,,,,,,,,,,
comment: ,"This comment was an emotional rollercoaster for me.
First I laughed, then I felt sorrowful.
5/7, would read comment again.",,,,,,,,,,,,,
comment: ,,,,,,,,,,,,,,
comment: ,You can't help who you love?,,,,,,,,,,,,,
comment: ,Was she Muslim? Lol,,,,,,,,,,,,,
comment: ,Mayra Lerma,,,,,,,,,,,,,
comment: ,Sounds like the plot of an Adam Sandler film.,,,,,,,,,,,,,
