status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155848606051509,"The Vikings' home stadium in Minneapolis is named U.S. Bank Stadium, and the Minneapolis-based bank is reportedly a major investor in the controversial project.",#NoDAPL banner at Vikings game ends in arrests,link,http://cnn.it/2iWszjG,2017-01-01 18:31:45,1324,292,160,1040,156,39,57,8,24
comment: ,Hollyweird needs to get shook up!,-0.1,0.1
comment: ,RosieSabala did you see this?,-0.2,0.2
5550296508_10155848106851509,"The author of a decades-old biography critical of Donald J. Trump  says he asked him to leave a Trump-owned Florida golf course Friday, alleging his presence was ""inappropriate.""",Biographer says Trump booted him from golf course,link,http://cnn.it/2iW3C7Z,2017-01-01 16:12:56,3904,2997,382,1722,84,249,1013,61,775
comment: ,thinskinned whiner,0.1,0.1
comment: ,fake news,0.1,0.1
comment: ,So? It's his property not the White House,-0.2,0.4
comment: ,In true tyrant form,0.1,0.1
comment: ,Cant wait til he evicts these ghetto squatters in 19 days,-0.3,0.3
comment: ,Donald Trump presence is inappropriate everywhere.,-0.4,0.4
comment: ,Fake news alert,-0.7,0.7
comment: ,?? Tis the season for #TrumpTREASON fa la la la la la la la la!??,-0.2,0.4
comment: ,He was a undercover liberal trying to spy for a story about Donald J Trump and he got caught by the soon to be Commander in Chief.,0.3,0.3
comment: ,Truly this is the most presidential man ever elected.,0.3,0.3
comment: ,Bully and a boss!!!!...,0.5,0.5
comment: ,Good !! Go trump,0.3,0.8
comment: ,"Does this biographer have pictures, video, TMZ's presence?",0,0
comment: ,Well Trump's property.. !His choice.,0.3,0.6
comment: ,,0,0
comment: ,Good!!! Nosyass writer!!,0.5,1
comment: ,spoken like a Nazi.,-0.2,0.2
comment: ,BABY!,0.2,0.2
comment: ,So what? It's his property. He can do what he pleases.,0.3,1
comment: ,"Aoccdrnig to a rscheearch at Cmabrigde Uinervtisy, it deosn't mttaer in waht oredr the ltteers in a wrod are, the olny iprmoatnt tihng is taht the frist and lsat ltteers be at the rghit pclae. The rset can be a toatl mses and you can sitll raed it wouthit any porbelm. Tihs is bcuseae the huamn mnid deos not raed ervey lteter by istlef,but the wrod as a wlohe.
Lkie if u can raed tihs",0,0.9
comment: ,No Inappropriate is not cutting all ties with your businesses. Inappropriate is not releasing your tax returns. Inappropriate is how you speak about and treat women.,-0.8,2.5
comment: ,"Mind you, this book was written in 1993. He's a thin skinned, poor excuse for a man let alone a president.",-0.6,1.3
comment: ,He must have a watch list at his hotels! How Nazi like!,0.1,0.8
comment: ,He invaded Trump's safe space and Trump - being the snowflake that he is - was clearly triggered.,-0.2,0.2
comment: ,,0,0
5550296508_10155847924226509,"""If you have something really important, write it out and have it delivered by courier, the old-fashioned way, because I'll tell you what, no computer is safe.""

Donald J. Trump  expressed deep misgivings about technology during his brief exchange with reporters positioned outside his Grand Ballroom. http://cnn.it/2iVGV3R",trump computer.mp4,video,https://www.facebook.com/cnn/videos/10155847924226509/,2017-01-01 15:25:25,11124,6704,3376,5907,265,391,3586,107,868
comment: ,Well he's not wrong,0.2,0.2
comment: ,Says the twitter idiot.,-0.6,0.6
comment: ,"But, you can tweet your minimal brains out...",0.5,0.5
comment: ,Smart man.,0.5,0.5
comment: ,,0,0
comment: ,Don uses twitter just to be ultra secure.,0.1,0.1
comment: ,What about tweets.  lol,0.2,0.4
comment: ,He is right,0.3,0.3
